Wafer_ID,BCl3_Flow_S4_mean,BCl3_Flow_S5_mean,Cl2_Flow_S4_mean,Cl2_Flow_S5_mean,RF_Btm_Pwr_S4_mean,RF_Btm_Pwr_S5_mean,RF_Btm_Rfl_Pwr_S4_mean,RF_Btm_Rfl_Pwr_S5_mean,Endpt_A_S4_mean,Endpt_A_S5_mean,He_Press_S4_mean,He_Press_S5_mean,Pressure_S4_mean,Pressure_S5_mean,RF_Tuner_S4_mean,RF_Tuner_S5_mean,RF_Load_S4_mean,RF_Load_S5_mean,RF_Phase_Err_S4_mean,RF_Phase_Err_S5_mean,RF_Pwr_S4_mean,RF_Pwr_S5_mean,RF_Impedance_S4_mean,RF_Impedance_S5_mean,TCP_Tuner_S4_mean,TCP_Tuner_S5_mean,TCP_Phase_Err_S4_mean,TCP_Phase_Err_S5_mean,TCP_Impedance_S4_mean,TCP_Impedance_S5_mean,TCP_Top_Pwr_S4_mean,TCP_Top_Pwr_S5_mean,TCP_Rfl_Pwr_S4_mean,TCP_Rfl_Pwr_S5_mean,TCP_Load_S4_mean,TCP_Load_S5_mean,Vat_Valve_S4_mean,Vat_Valve_S5_mean
l3334,751.5,751.7692307692307,752.9130434782609,753.25,132.52173913043478,133.34615384615384,0.0,0.0,790.1086956521739,474.84615384615387,100.69565217391305,100.51923076923077,1234.608695652174,1229.923076923077,9428.108695652174,9403.846153846154,8982.739130434782,8967.557692307691,-858.9565217391304,-48.25,28.695652173913043,27.423076923076923,16677.130434782608,16675.923076923078,19294.347826086956,19379.423076923078,-35.69565217391305,53.07692307692308,16617.869565217392,16520.53846153846,348.5652173913044,349.5192307692308,0.2391304347826087,0.15384615384615385,28255.043478260868,28131.423076923078,49.15217391304348,50.76923076923077
l3330,751.6304347826087,751.8,753.1521739130435,753.14,133.15217391304347,133.38,0.021739130434782608,0.0,794.0869565217391,478.9,100.43478260869566,100.66,1235.6304347826087,1230.32,9442.58695652174,9419.78,8980.260869565218,8973.8,-1075.3695652173913,195.72,29.130434782608695,27.04,16512.0,16696.52,19313.347826086956,19382.12,-11.58695652173913,82.12,16524.434782608696,16547.08,348.5869565217391,350.54,0.15217391304347827,0.1,28223.217391304348,28127.84,49.17391304347826,50.72
l3331,751.4255319148937,751.8461538461538,753.2765957446809,753.3461538461538,133.5744680851064,133.30769230769232,0.0,0.0,790.5744680851063,481.84615384615387,100.23404255319149,100.3076923076923,1235.063829787234,1230.6538461538462,9424.212765957447,9410.326923076924,8987.936170212766,8972.846153846154,-858.6382978723404,132.46153846153845,28.659574468085108,27.057692307692307,16685.44680851064,16749.05769230769,19286.59574468085,19359.115384615383,-7.404255319148936,30.673076923076923,16564.978723404256,16532.153846153848,350.0,349.90384615384613,0.40425531914893614,0.057692307692307696,28239.702127659573,28150.115384615383,49.170212765957444,50.76923076923077
l3307,751.5531914893617,751.8490566037735,753.1489361702128,753.3018867924528,133.2340425531915,133.71698113207546,0.02127659574468085,0.018867924528301886,783.0212765957447,474.0943396226415,100.63829787234043,100.69811320754717,1233.340425531915,1229.9622641509434,9423.595744680852,9423.0,8995.234042553191,8980.037735849057,-1028.2553191489362,83.98113207547169,28.4468085106383,26.88679245283019,16520.787234042553,16727.056603773584,19308.17021276596,19392.56603773585,-7.191489361702128,-22.18867924528302,16502.893617021276,16513.622641509435,348.8936170212766,350.20754716981133,0.3191489361702128,0.11320754716981132,28220.127659574468,28116.415094339623,49.12765957446808,50.58490566037736
l3313,751.5434782608696,751.7358490566038,753.3478260869565,753.1698113207547,133.43478260869566,133.0566037735849,0.021739130434782608,0.018867924528301886,793.7608695652174,475.47169811320754,100.56521739130434,100.60377358490567,1233.3695652173913,1229.1698113207547,9426.282608695652,9450.622641509433,8990.869565217392,8961.547169811322,-1251.1304347826087,-279.7358490566038,28.97826086956522,28.339622641509433,16448.760869565216,16389.037735849055,19322.608695652172,19416.188679245282,-38.82608695652174,47.0377358490566,16509.521739130436,16552.188679245282,350.1521739130435,350.1509433962264,0.2391304347826087,0.09433962264150944,28219.043478260868,28123.132075471698,49.02173913043478,49.905660377358494
l3336,751.4347826086956,751.6938775510204,753.195652173913,753.1632653061224,133.3695652173913,133.57142857142858,0.0,0.02040816326530612,775.3478260869565,469.734693877551,100.30434782608695,100.59183673469387,1234.891304347826,1230.142857142857,9440.91304347826,9412.469387755102,8986.021739130434,8968.836734693878,-932.4347826086956,-36.46938775510204,28.434782608695652,27.755102040816325,16692.456521739132,16579.326530612245,19312.08695652174,19374.163265306124,-58.21739130434783,-21.285714285714285,16513.08695652174,16507.14285714286,348.2608695652174,348.6530612244898,0.17391304347826086,0.061224489795918366,28223.608695652172,28111.836734693876,49.15217391304348,50.795918367346935
l3316,751.5833333333334,751.6981132075472,753.2291666666666,753.3207547169811,133.45833333333334,133.33962264150944,0.041666666666666664,0.0,782.6458333333334,480.1698113207547,100.8125,100.54716981132076,1234.4375,1229.7924528301887,9438.666666666666,9411.88679245283,8993.208333333334,8990.698113207547,-1223.6875,332.39622641509436,28.541666666666668,27.11320754716981,16615.541666666668,16680.32075471698,19324.041666666668,19392.037735849055,63.083333333333336,117.77358490566037,16531.375,16507.77358490566,350.0416666666667,349.2641509433962,0.25,0.1320754716981132,28216.458333333332,28109.77358490566,49.104166666666664,50.56603773584906
l3324,751.5869565217391,751.8269230769231,753.2608695652174,753.0961538461538,133.93478260869566,133.34615384615384,0.021739130434782608,0.057692307692307696,807.1521739130435,486.61538461538464,100.52173913043478,100.67307692307692,1234.6739130434783,1229.9423076923076,9420.804347826086,9439.923076923076,8983.847826086956,8956.23076923077,-1035.1304347826087,-36.32692307692308,28.47826086956522,27.71153846153846,16518.043478260868,16293.48076923077,19288.347826086956,19376.96153846154,-4.065217391304348,-21.73076923076923,16584.91304347826,16554.5,349.39130434782606,349.0576923076923,0.30434782608695654,0.038461538461538464,28236.82608695652,28149.076923076922,49.108695652173914,50.61538461538461
l3301,751.5106382978723,751.811320754717,753.0425531914893,753.2830188679245,133.5531914893617,133.43396226415095,0.0,0.018867924528301886,758.0212765957447,467.49056603773585,100.76595744680851,100.56603773584905,1235.4468085106382,1230.1698113207547,9380.531914893618,9380.792452830188,8995.234042553191,8976.32075471698,-696.7021276595744,61.264150943396224,28.319148936170212,26.77358490566038,16564.787234042553,16616.54716981132,19318.212765957447,19378.603773584906,177.85106382978722,-40.132075471698116,16513.063829787236,16526.150943396227,349.59574468085106,351.1698113207547,0.2765957446808511,0.03773584905660377,28248.68085106383,28125.622641509435,49.170212765957444,50.81132075471698
l3332,751.4444444444445,751.82,753.0666666666667,753.34,133.15555555555557,133.66,0.0,0.02,792.7333333333333,474.38,100.71111111111111,100.7,1234.8222222222223,1229.3,9428.822222222223,9408.64,8985.222222222223,8969.96,-1356.3333333333333,32.84,28.88888888888889,27.44,16489.37777777778,16710.02,19293.955555555556,19405.12,-49.75555555555555,71.36,16502.0,16482.96,350.26666666666665,350.1,0.15555555555555556,0.06,28234.844444444443,28110.72,49.17777777777778,50.76
